"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"United Bank of El Paso del Norte","Southwest United Bancshares, Inc.","TX","Texas","SM",224968000,57119,2942823,"united bank of el paso del norte",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Uniti Bank","Uniti Financial Corporation","CA","California","NM",282939000,57120,3076284,"uniti bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Houston Commercial Bank",NA,"TX","Texas","NM",38304000,57121,3008397,"houston commercial bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Evansville",NA,"IN","Indiana","SM",339991000,57122,2975269,"bank of evansville",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"First Century Bank, National Association","First Century Bancorp.","GA","Georgia","N",145793000,57123,2997748,"first century bank, national association",TRUE,"Commented",2565978874.81297,145717500,8836714015.10574,126448000
"First Community Bank of Central Alabama","Central Alabama Bancshares, Inc.","AL","Alabama","NM",356432000,57124,3034257,"first community bank of central alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Chelten Hills Savings Bank",NA,"PA","Pennsylvania","SB",25666000,57125,821278,"chelten hills savings bank",FALSE,"Did not comment",915546343.628809,95742500,878777987.0317,286179000
"THE National Bank",NA,"IA","Iowa","N",439773000,57126,2949710,"the national bank",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Guardian Bank","Wb&T Bankshares, Inc.","GA","Georgia","NM",316537000,57127,2989006,"guardian bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Community Federal Savings Bank",NA,"NY","New York","SA",131970000,57129,3040418,"community federal savings bank",FALSE,"Did not comment",915546343.628809,95742500,849658148.500577,128373500
"Community Bank of Texas, N. A.",NA,"TX","Texas","N",69529000,57130,3028087,"community bank of texas, n. a.",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Beach Community Bank","Beach Community Bancshares, Inc.","FL","Florida","NM",505599000,57131,3022076,"beach community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Eastside  Commercial  Bank, National Association",NA,"WA","Washington","N",27126000,57132,3105308,"eastside  commercial  bank, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"United Bank & Trust -Washtenaw",NA,"MI","Michigan","NM",389400000,57133,2978297,"united bank & trust -washtenaw",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Leader Bank, National Association","Leader Bancorp, Inc","MA","Massachusetts","N",1109925000,57134,3109146,"leader bank, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"CresCom Bank","Carolina Financial Corporation","SC","South Carolina","NM",2182512000,57135,3013823,"crescom bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Discovery  Bank",NA,"CA","California","NM",151051000,57136,2957667,"discovery  bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Mission Bank","Community Bancshares, Inc.","AZ","Arizona","NM",100485000,57137,2963275,"mission bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Apple Valley Bank & Trust Company",NA,"CT","Connecticut","NM",84568000,57138,2996536,"the apple valley bank & trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community Bank of Missouri","Missouri Bancorp, Inc.","MO","Missouri","NM",51552000,57141,3005097,"community bank of missouri",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
